host	 path	compressed size (bytes)	original size (bytes)	request start offset (sec)	 new TCP connection?	 new SSL handshake?	 original URL

www.youtube.com	/	67396	817610	0.139000	True	True	https://www.youtube.com/
s.ytimg.com	/yts/jsbin/www-scheduler-vflH9IBRs/www-scheduler.js	3941	3861	0.251000	False	False	https://s.ytimg.com/yts/jsbin/www-scheduler-vflH9IBRs/www-scheduler.js
s.ytimg.com	/yts/cssbin/www-core-vflteb65u.css	188981	188665	0.252000	True	True	https://s.ytimg.com/yts/cssbin/www-core-vflteb65u.css
s.ytimg.com	/yts/cssbin/www-home-c4-vfl7Iucyt.css	102697	102615	0.252000	False	False	https://s.ytimg.com/yts/cssbin/www-home-c4-vfl7Iucyt.css
s.ytimg.com	/yts/cssbin/www-pageframe-vflzoAA5R.css	52895	52844	0.252000	False	False	https://s.ytimg.com/yts/cssbin/www-pageframe-vflzoAA5R.css
s.ytimg.com	/yts/cssbin/www-guide-vflT5XWIy.css	15988	15947	0.252000	False	False	https://s.ytimg.com/yts/cssbin/www-guide-vflT5XWIy.css
s.ytimg.com	/yts/img/pixel-vfl3z5WfW.gif	118	43	1.350000	False	False	https://s.ytimg.com/yts/img/pixel-vfl3z5WfW.gif
i.ytimg.com	/vi/KWZGAExj-es/hqdefault.jpg	18953	18719	1.356000	True	True	https://i.ytimg.com/vi/KWZGAExj-es/hqdefault.jpg
i.ytimg.com	/vi/7Y95LOWYKGk/mqdefault.jpg	10165	10124	1.356000	False	False	https://i.ytimg.com/vi/7Y95LOWYKGk/mqdefault.jpg
i.ytimg.com	/vi/gHgBRk797zo/mqdefault.jpg	10795	10735	1.356000	False	False	https://i.ytimg.com/vi/gHgBRk797zo/mqdefault.jpg
i.ytimg.com	/vi/sP8OFg3fqf4/mqdefault.jpg	11956	11916	1.357000	False	False	https://i.ytimg.com/vi/sP8OFg3fqf4/mqdefault.jpg
yt3.ggpht.com	/-x3CU1CXklQI/AAAAAAAAAAI/AAAAAAAAAAA/jPQ9GJeU53g/s88-c-k-no/photo.jpg	4282	4003	1.358000	True	True	https://yt3.ggpht.com/-x3CU1CXklQI/AAAAAAAAAAI/AAAAAAAAAAA/jPQ9GJeU53g/s88-c-k-no/photo.jpg
i.ytimg.com	/vi/duKL2dAJN6I/mqdefault.jpg	11909	11852	1.357000	False	False	https://i.ytimg.com/vi/duKL2dAJN6I/mqdefault.jpg
i.ytimg.com	/vi/R4ajQ-foj2Q/mqdefault.jpg	15934	15874	1.357000	False	False	https://i.ytimg.com/vi/R4ajQ-foj2Q/mqdefault.jpg
i.ytimg.com	/vi/0uBOtQOO70Y/mqdefault.jpg	23139	23078	1.358000	False	False	https://i.ytimg.com/vi/0uBOtQOO70Y/mqdefault.jpg
i.ytimg.com	/vi/bLBSoC_2IY8/mqdefault.jpg	16878	16818	1.358000	False	False	https://i.ytimg.com/vi/bLBSoC_2IY8/mqdefault.jpg
